Pathway	Gene
PMID:26795247.01	APOE
PMID:26795247.01	CEP164
PMID:26795247.01	RSPH1
PMID:26795247.01	H1FX
PMID:26795247.01	MLL1
PMID:26795247.01	TOX
PMID:26795247.01	SATB1
PMID:26795247.01	MACF1
PMID:26795247.01	MYH9
PMID:26795247.01	ABR
PMID:26795247.01	CD180
PMID:26795247.01	CACNA1H
PMID:26795247.01	PSG23
PMID:26795247.01	STXBP1
PMID:26795247.01	ALDOA
PMID:26795247.01	CHK
PMID:26795247.01	FAH
PMID:26795247.01	FUT8
PMID:26795247.01	HSD3B2
PMID:26795247.01	INPP5D
PMID:26795247.01	LTPKB
PMID:26795247.01	LTPR2
PMID:26795247.01	NT5E
PMID:26795247.01	OSBPL3
PMID:26795247.01	SRR
PMID:26795247.01	EMP2
PMID:26795247.01	HAVCR1
PMID:26795247.01	RELN
PMID:26795247.01	EIF3S5
PMID:26795247.01	FBXO10
PMID:26795247.01	NEURL
PMID:26795247.01	TTC3
PMID:26795247.01	MSI2H
PMID:26795247.01	TMEM63A
PMID:26795247.01	ABI2
PMID:26795247.01	BASP1
PMID:26795247.01	CHRNA9
PMID:26795247.01	CXCR4
PMID:26795247.01	DLG5
PMID:26795247.01	DOCK2
PMID:26795247.01	FGD6
PMID:26795247.01	GH
PMID:26795247.01	GNAZ
PMID:26795247.01	IGF2BP3
PMID:26795247.01	ILDR1
PMID:26795247.01	LNVS
PMID:26795247.01	LCK
PMID:26795247.01	PACSIN1
PMID:26795247.01	PIK3CD
PMID:26795247.01	PLXNB2
PMID:26795247.01	SH3BGRL2
PMID:26795247.01	YWHAG
PMID:26795247.01	YWHAQ
PMID:26795247.01	EGR1
PMID:26795247.01	GTF2I
PMID:26795247.01	IRF8
PMID:26795247.01	MAML2
PMID:26795247.01	MEF2B
PMID:26795247.01	TCOF1
PMID:26795247.01	TSHZ1
PMID:26795247.01	ZFP288
PMID:33579751.01	CD27
PMID:33579751.01	CD38
PMID:33579751.01	EBI3
PMID:33579751.01	BCL2A1
PMID:33579751.01	LMO2
PMID:33579751.01	GMDS
PMID:33579751.01	PRPSAP2
PMID:33579751.01	SERPINA9
PMID:33579751.01	MARCKSL1
PMID:33579751.01	BCL6
PMID:33579751.01	SUGCT
PMID:33579751.01	EZR
PMID:33579751.01	ISG20
PMID:33579751.01	RASSF6
PMID:33579751.01	HOPX
PMID:33579751.01	BTNL9
PMID:33579751.01	FGFR1
PMID:33579751.01	PRDM1
PMID:33579751.01	JCHAIN
PMID:33579751.01	XBP1
PMID:33579751.01	MZB1
PMID:33579751.01	GPR183
PMID:33579751.01	CD44
PMID:33579751.01	KLF2
PMID:33579751.01	HMGB2
PMID:33579751.01	TUBA1B
PMID:33579751.01	MKI67
PMID:33579751.01	UBE2C
PMID:33579751.01	AURKB
PMID:33579751.01	IRF4
PMID:33579751.02	METAP2
PMID:33579751.02	CUX1
PMID:33579751.02	TUBB3
PMID:33579751.02	DSTN
PMID:33579751.02	ACY3
PMID:33579751.02	VEZT
PMID:33579751.02	ELL3
PMID:33579751.02	ALOX5
PMID:33579751.02	ODC1
PMID:33579751.02	DEF8
PMID:33579751.02	CD40LG
PMID:33579751.02	CSF1
PMID:33579751.02	IL1B
PMID:33579751.02	IL2
PMID:33579751.02	TGFB3
PMID:33579751.02	TGFB1
PMID:33579751.02	IFNG
PMID:33579751.02	IL4
PMID:33579751.02	RANKL
PMID:33579751.02	TNF
PMID:33579751.02	TLR4
PMID:33579751.02	MS4A1
PMID:33579751.02	CD22
PMID:33579751.02	SWAP70
PMID:33579751.02	CFL1
PMID:33579751.02	ARPC2
PMID:33579751.02	PAG1
PMID:33579751.02	HCLS1
PMID:33579751.02	LCP1
PMID:33579751.02	P2RY8
PMID:33579751.02	MYO1E
PMID:33579751.02	MX1
PMID:33579751.02	PDIA4
PMID:33579751.02	FCRLA
PMID:33579751.02	LYPLA1
PMID:33579751.02	ALDH2
PMID:33579751.02	CYBB
PMID:33579751.02	FDPS
PMID:33579751.02	HACD4
PMID:33579751.02	NANS
PMID:33579751.02	NUDT22
PMID:33579751.02	PKM
PMID:33579751.02	HLA-DMA
PMID:33579751.02	HLA-DOA
PMID:33579751.02	CD74
PMID:33579751.02	CD53
PMID:33579751.02	SCIMP
PMID:33579751.02	CPNE3
PMID:33579751.02	PDE4D
PMID:33579751.02	PTAFR
PMID:33579751.02	PIP4K2A
PMID:33579751.02	CAMK1
PMID:33579751.02	CAPN1
PMID:33579751.02	SGPP1
PMID:33579751.02	NEK6
PMID:33579751.02	SFI1
PMID:33579751.02	RPRD1B
PMID:33579751.02	DDIT4
PMID:33579751.02	MYC
PMID:33579751.02	BCL11A
PMID:33579751.02	ID3
PMID:33579751.02	MEF2C
PMID:33579751.02	IRF8
PMID:33579751.02	ZBTB20
PMID:33579751.02	PAX5
PMID:33579751.02	REL
PMID:33579751.02	STATE
